,html,is_article
16,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/c6e4a679-0a10-50c9-ac9e-c43975f7cec1"" href=""https://www.nytimes.com/2024/01/06/business/alaska-airlines-boeing-737-max-9.html""><p class=""indicate-hover css-66vf3i"">Boeing is facing new safety questions about the 737 Max 9. Here’s what to know about the plane.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p></a>",1
17,"<a class=""css-777zgl"" href=""#after-dfp-ad-mid1"">SKIP ADVERTISEMENT</a>",0
18,"<section class=""css-l08pwh interactive-content interactive-size-medium"" data-id=""100000008875625"" data-source-id=""100000008875625"" data-testid=""inline-interactive"" id=""prism-styln-2024-election-homepageMenu-1682513909569"">

<nav aria-labelledby=""styln-2024-election-hp-menu"" class=""css-17u6w1c""><a href=""https://www.nytimes.com/news-event/2024-election""></a><ul class=""css-14sdsr9""><li class=""css-1mh018s""><a href=""https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html"">Who Is Running?</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/interactive/2023/08/18/us/politics/republican-candidates-2024-issues.html"">Issues Tracker</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/interactive/2024/us/elections/republican-primary-calendar.html"">G.O.P. Primary Calendar</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/article/iowa-caucus-explainer.html"">Iowa Caucuses: What to Know</a></li></ul></nav></section>",0
19,"<a href=""https://www.nytimes.com/news-event/2024-election""></a>",0
20,"<a href=""https://www.nytimes.com/interactive/2023/us/politics/presidential-candidates-2024.html"">Who Is Running?</a>",0
21,"<a href=""https://www.nytimes.com/interactive/2023/08/18/us/politics/republican-candidates-2024-issues.html"">Issues Tracker</a>",0
22,"<a href=""https://www.nytimes.com/interactive/2024/us/elections/republican-primary-calendar.html"">G.O.P. Primary Calendar</a>",0
23,"<a href=""https://www.nytimes.com/article/iowa-caucus-explainer.html"">Iowa Caucuses: What to Know</a>",0
24,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/8665e2f3-6b65-559a-9036-97b04bb74599"" href=""https://www.nytimes.com/2024/01/06/us/politics/jan-6-trump-biden.html""><p class=""indicate-hover css-on97le"">Trump Signals an Election Year Full of Falsehoods on Jan. 6 and Democracy</p><p class=""summary-class css-1hkeunz"">Former President Trump and President Biden are framing the election as a battle for democracy — with Mr. Trump brazenly casting Mr. Biden as the true menace.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt="""" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt="""" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/06/multimedia/06politics-swiper-carousel6-kzmj/06politics-swiper-carousel6-kzmj-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Cj Gunther/EPA, via Shutterstock</span></figcaption></figure></a></section>",1
25,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/8665e2f3-6b65-559a-9036-97b04bb74599"" href=""https://www.nytimes.com/2024/01/06/us/politics/jan-6-trump-biden.html""><p class=""indicate-hover css-on97le"">Trump Signals an Election Year Full of Falsehoods on Jan. 6 and Democracy</p><p class=""summary-class css-1hkeunz"">Former President Trump and President Biden are framing the election as a battle for democracy — with Mr. Trump brazenly casting Mr. Biden as the true menace.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt="""" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt="""" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/06/multimedia/06politics-swiper-carousel6-kzmj/06politics-swiper-carousel6-kzmj-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Cj Gunther/EPA, via Shutterstock</span></figcaption></figure></a>",1
26,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://legacycollection/3380a970-4406-519c-8fde-297c12fc130e"" href=""https://www.nytimes.com/live/2024/01/06/us/presidential-primary-iowa-caucus""><p class=""indicate-hover css-66vf3i"">Campaign updates: Donald Trump went on the offense in Iowa on the anniversary of Jan. 6.</p><p class=""css-ikai89"" data-ttr=""1""> </p></a></section>",1
27,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://legacycollection/3380a970-4406-519c-8fde-297c12fc130e"" href=""https://www.nytimes.com/live/2024/01/06/us/presidential-primary-iowa-caucus""><p class=""indicate-hover css-66vf3i"">Campaign updates: Donald Trump went on the offense in Iowa on the anniversary of Jan. 6.</p><p class=""css-ikai89"" data-ttr=""1""> </p></a>",1
28,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/874f04c7-5eef-5e5d-8d44-b107f08412b5"" href=""https://www.nytimes.com/2024/01/06/business/dealbook/jan-6-companies-donations.html""><p class=""indicate-hover css-66vf3i"">Companies pledged to rethink political giving after the Capitol attack. Did they?</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p></a></section>",1
29,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/874f04c7-5eef-5e5d-8d44-b107f08412b5"" href=""https://www.nytimes.com/2024/01/06/business/dealbook/jan-6-companies-donations.html""><p class=""indicate-hover css-66vf3i"">Companies pledged to rethink political giving after the Capitol attack. Did they?</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p></a>",1
30,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/9c48ebbc-537d-5555-ae47-e235e81ee4a1"" href=""https://www.nytimes.com/2024/01/06/us/politics/michigan-republicans-karamo.html""><p class=""indicate-hover css-66vf3i"">Some Michigan Republicans held a disputed vote to remove their party leader.</p><p class=""css-1esztn"" data-ttr=""1"">4 min read</p></a></section>",1
31,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/9c48ebbc-537d-5555-ae47-e235e81ee4a1"" href=""https://www.nytimes.com/2024/01/06/us/politics/michigan-republicans-karamo.html""><p class=""indicate-hover css-66vf3i"">Some Michigan Republicans held a disputed vote to remove their party leader.</p><p class=""css-1esztn"" data-ttr=""1"">4 min read</p></a>",1
32,"<section class=""css-l08pwh interactive-content interactive-size-medium"" data-id=""100000009122743"" data-source-id=""100000009122743"" data-testid=""inline-interactive"" id=""prism-styln-israel-gaza-homepageMenu-1696711323527"">

<nav aria-labelledby=""styln-israel-gaza-hp-menu"" class=""css-ne84xc""><p id=""styln-israel-gaza-hp-menu""><a class=""css-1rsvbdu"" href=""https://www.nytimes.com/news-event/israel-hamas-gaza"">Israel-Hamas War</a></p><ul class=""css-11xr2bo""><li class=""css-1mh018s""><a href=""https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html"">Maps</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/article/israel-gaza-photos.html"">Photos</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2023/12/28/world/middleeast/oct-7-attacks-hamas-israel-sexual-violence.html"">Sexual Violence on Oct. 7</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2023/12/30/world/middleeast/israeli-military-hamas-failures.html"">Where Was Israel's Military?</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/interactive/2023/12/28/world/middleeast/jabaliya-gaza-strike-israel.html"">Reconstructing a Deadly Attack</a></li></ul></nav></section>",0
33,"<a class=""css-1rsvbdu"" href=""https://www.nytimes.com/news-event/israel-hamas-gaza"">Israel-Hamas War</a>",0
34,"<a href=""https://www.nytimes.com/interactive/2023/10/07/world/middleeast/israel-gaza-maps.html"">Maps</a>",0
35,"<a href=""https://www.nytimes.com/article/israel-gaza-photos.html"">Photos</a>",0
36,"<a href=""https://www.nytimes.com/2023/12/28/world/middleeast/oct-7-attacks-hamas-israel-sexual-violence.html"">Sexual Violence on Oct. 7</a>",0
37,"<a href=""https://www.nytimes.com/2023/12/30/world/middleeast/israeli-military-hamas-failures.html"">Where Was Israel's Military?</a>",0
38,"<a href=""https://www.nytimes.com/interactive/2023/12/28/world/middleeast/jabaliya-gaza-strike-israel.html"">Reconstructing a Deadly Attack</a>",0
39,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/fae26844-ebaa-5233-9496-cd4722c74534"" href=""https://www.nytimes.com/2024/01/06/business/red-sea-shipping-houthi.html""><p class=""indicate-hover css-on97le"">Red Sea Attacks Leave Shipping Companies With Difficult Choices</p><p class=""summary-class css-1hkeunz"">Attacks on two dozen ships since November have forced companies to consider skipping the Suez Canal and sending vessels on longer voyages around Africa.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A ship full of shipping containers passes through the Suez Canal flanked by two smaller boats."" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A ship full of shipping containers passes through the Suez Canal flanked by two smaller boats."" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/05/multimedia/00Redsea-Shipping-01-qmpc/00Redsea-Shipping-01-qmpc-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Mohamed Abd El Ghany/Reuters</span></figcaption></figure></a></section>",1
40,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/fae26844-ebaa-5233-9496-cd4722c74534"" href=""https://www.nytimes.com/2024/01/06/business/red-sea-shipping-houthi.html""><p class=""indicate-hover css-on97le"">Red Sea Attacks Leave Shipping Companies With Difficult Choices</p><p class=""summary-class css-1hkeunz"">Attacks on two dozen ships since November have forced companies to consider skipping the Suez Canal and sending vessels on longer voyages around Africa.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A ship full of shipping containers passes through the Suez Canal flanked by two smaller boats."" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A ship full of shipping containers passes through the Suez Canal flanked by two smaller boats."" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/05/multimedia/00Redsea-Shipping-01-qmpc/00Redsea-Shipping-01-qmpc-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Mohamed Abd El Ghany/Reuters</span></figcaption></figure></a>",1
41,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/f070cc84-9a52-5e74-9665-a018385d7985"" href=""https://www.nytimes.com/2024/01/06/world/middleeast/hezbollah-israel-lebanon-gaza-war.html""><p class=""indicate-hover css-66vf3i"">Hezbollah fired rockets at Israel in response to the killing of a Hamas leader in Lebanon.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p></a></section>",1
42,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/f070cc84-9a52-5e74-9665-a018385d7985"" href=""https://www.nytimes.com/2024/01/06/world/middleeast/hezbollah-israel-lebanon-gaza-war.html""><p class=""indicate-hover css-66vf3i"">Hezbollah fired rockets at Israel in response to the killing of a Hamas leader in Lebanon.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p></a>",1
43,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/c9551f43-1bc9-5380-bb79-113175a426a6"" href=""https://www.nytimes.com/2024/01/06/technology/smartphone-addiction-flip-phone.html""><p class=""indicate-hover css-on97le"">I Was Addicted to My Smartphone, So I Switched to a Flip Phone for a Month</p><p class=""summary-class css-1hkeunz"">Was it inconvenient? Yes. Did T9 texting drive me crazy? Definitely. Was it worth doing? Absolutely.</p><p class=""css-1esztn"" data-ttr=""1"">10 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A black flip phone, on its side, open, on a blue background."" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A black flip phone, on its side, open, on a blue background."" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/07/multimedia/07FLIPPHONE-fvgb/07FLIPPHONE-fvgb-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Photo illustration by Plamen Petkov for The New York Times</span></figcaption></figure></a></section>",1
44,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/c9551f43-1bc9-5380-bb79-113175a426a6"" href=""https://www.nytimes.com/2024/01/06/technology/smartphone-addiction-flip-phone.html""><p class=""indicate-hover css-on97le"">I Was Addicted to My Smartphone, So I Switched to a Flip Phone for a Month</p><p class=""summary-class css-1hkeunz"">Was it inconvenient? Yes. Did T9 texting drive me crazy? Definitely. Was it worth doing? Absolutely.</p><p class=""css-1esztn"" data-ttr=""1"">10 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A black flip phone, on its side, open, on a blue background."" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A black flip phone, on its side, open, on a blue background."" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/07/multimedia/07FLIPPHONE-fvgb/07FLIPPHONE-fvgb-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Photo illustration by Plamen Petkov for The New York Times</span></figcaption></figure></a>",1
45,"<a class=""css-777zgl"" href=""#after-dfp-ad-mid2"">SKIP ADVERTISEMENT</a>",0
46,"<section class=""css-l08pwh interactive-content interactive-size-medium"" data-id=""100000009248566"" data-source-id=""100000009248566"" data-testid=""inline-interactive"" id=""prism-styln-claudine-gay-plagiarism-homepageMenu-1704295413437"">

<nav aria-labelledby=""styln-claudine-gay-plagiarism-hp-menu"" class=""css-ne84xc""><p id=""styln-claudine-gay-plagiarism-hp-menu""><span class=""css-14sajpe"">Harvard President Resigns</span></p><ul class=""css-11xr2bo""><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2024/01/02/us/harvard-claudine-gay-resigns.html"">Turbulent Tenure Ends</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2024/01/02/us/harvard-claudine-gay-plagiarism.html"">New Plagiarism Accusations</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2024/01/02/us/claudine-gay-resignation-letter-harvard.html"">Resignation Letter</a></li><li class=""css-1mh018s""><a href=""https://www.nytimes.com/2023/12/21/us/harvard-president-claudine-gay-timeline.html"">Timeline</a></li></ul></nav></section>",0
47,"<a href=""https://www.nytimes.com/2024/01/02/us/harvard-claudine-gay-resigns.html"">Turbulent Tenure Ends</a>",0
48,"<a href=""https://www.nytimes.com/2024/01/02/us/harvard-claudine-gay-plagiarism.html"">New Plagiarism Accusations</a>",0
49,"<a href=""https://www.nytimes.com/2024/01/02/us/claudine-gay-resignation-letter-harvard.html"">Resignation Letter</a>",0
50,"<a href=""https://www.nytimes.com/2023/12/21/us/harvard-president-claudine-gay-timeline.html"">Timeline</a>",0
51,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/48cada6c-85ab-5ed1-aaeb-1c26c5058d00"" href=""https://www.nytimes.com/2024/01/06/business/claudine-gay-harvard-corporation-board.html""><p class=""indicate-hover css-on97le"">How Harvard’s Board Broke With Claudine Gay</p><p class=""summary-class css-1hkeunz"">Facing intense pressure, it went from standing behind her as the university’s president to pushing her out within weeks.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""Claudine Gay looking slightly up to the side and into the distance. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""Claudine Gay looking slightly up to the side and into the distance. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/03/multimedia/00harvard-gay-kvbf/00harvard-gay-kvbf-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Sophie Park for The New York Times</span></figcaption></figure></a></section>",1
52,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/48cada6c-85ab-5ed1-aaeb-1c26c5058d00"" href=""https://www.nytimes.com/2024/01/06/business/claudine-gay-harvard-corporation-board.html""><p class=""indicate-hover css-on97le"">How Harvard’s Board Broke With Claudine Gay</p><p class=""summary-class css-1hkeunz"">Facing intense pressure, it went from standing behind her as the university’s president to pushing her out within weeks.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""Claudine Gay looking slightly up to the side and into the distance. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""Claudine Gay looking slightly up to the side and into the distance. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/03/multimedia/00harvard-gay-kvbf/00harvard-gay-kvbf-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Sophie Park for The New York Times</span></figcaption></figure></a>",1
53,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/af55a5cb-d63c-5de8-9f37-c4c59f386647"" href=""https://www.nytimes.com/2024/01/06/business/media/hollywood-awards-israel-gaza-speeches.html""><p class=""indicate-hover css-on97le"">In Frothy Awards Season, What Role Will Israel-Hamas War Play?</p><p class=""summary-class css-1hkeunz"">The conflict in Gaza has divided Hollywood, magnifying the choice of whether to discuss the topic or remain silent.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A silhouette of two women in gowns, standing onstage in front of a microphone. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A silhouette of two women in gowns, standing onstage in front of a microphone. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/05/multimedia/05AwardsSeason-gaza-tqzm/05AwardsSeason-gaza-tqzm-square640-v2.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Todd Heisler/The New York Times</span></figcaption></figure></a></section>",1
54,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/af55a5cb-d63c-5de8-9f37-c4c59f386647"" href=""https://www.nytimes.com/2024/01/06/business/media/hollywood-awards-israel-gaza-speeches.html""><p class=""indicate-hover css-on97le"">In Frothy Awards Season, What Role Will Israel-Hamas War Play?</p><p class=""summary-class css-1hkeunz"">The conflict in Gaza has divided Hollywood, magnifying the choice of whether to discuss the topic or remain silent.</p><p class=""css-1esztn"" data-ttr=""1"">5 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A silhouette of two women in gowns, standing onstage in front of a microphone. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A silhouette of two women in gowns, standing onstage in front of a microphone. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2024/01/05/multimedia/05AwardsSeason-gaza-tqzm/05AwardsSeason-gaza-tqzm-square640-v2.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Todd Heisler/The New York Times</span></figcaption></figure></a>",1
55,"<section class=""story-wrapper css-17avoc5""><a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/d2de06fe-8491-52bd-8fba-7b1dfb42189a"" href=""https://www.nytimes.com/2024/01/06/us/college-rankings-us-news.html""><p class=""indicate-hover css-on97le"">U.S. News Makes Money From Some of Its Biggest Critics: Colleges</p><p class=""summary-class css-1hkeunz"">U.S. News sells “badges” to colleges, so they can promote their rankings — whether they are first, 10th or much, much lower.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A two-story red building sits among ground and trees covered in snow. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A two-story red building sits among ground and trees covered in snow. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2023/12/24/multimedia/00nat-rankings-2-01-hkbt/00nat-rankings-2-01-hkbt-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Ashley Conti for The New York Times</span></figcaption></figure></a></section>",1
56,"<a aria-hidden=""false"" class=""css-9mylee"" data-uri=""nyt://article/d2de06fe-8491-52bd-8fba-7b1dfb42189a"" href=""https://www.nytimes.com/2024/01/06/us/college-rankings-us-news.html""><p class=""indicate-hover css-on97le"">U.S. News Makes Money From Some of Its Biggest Critics: Colleges</p><p class=""summary-class css-1hkeunz"">U.S. News sells “badges” to colleges, so they can promote their rankings — whether they are first, 10th or much, much lower.</p><p class=""css-1esztn"" data-ttr=""1"">6 min read</p><figure class=""container-margin css-186xh9e""><picture class=""css-hdqqnp""><source class=""css-hdqqnp"" media=""screen and (min-width: 1px)""/><img alt=""A two-story red building sits among ground and trees covered in snow. "" class=""css-dzl7b5"" loading=""lazy""/><noscript><img alt=""A two-story red building sits among ground and trees covered in snow. "" class=""css-122y91a"" src=""https://static01.nyt.com/images/2023/12/24/multimedia/00nat-rankings-2-01-hkbt/00nat-rankings-2-01-hkbt-square640.jpg?format=pjpg&amp;quality=75&amp;auto=webp&amp;disable=upscale""/></noscript></picture><figcaption aria-hidden=""true"" class=""css-1p5yz2j""><span class=""css-1j306sm"">Ashley Conti for The New York Times</span></figcaption></figure></a>",1
